
---- PROCESS STARTING ON: Mon, 11 Mar 2013 13:05:11 +0000 ----
[2013-03-11 14:05:13,268][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI11\nsS'height'\np5\nI3\nsS'surface'\np6\nF18\nsS'width'\np7\nI10\nsa(dp8\nS'y'\nI1\nsS'x'\nI155\nsg5\nI3\nsg6\nF6\nsg7\nI4\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_yellow'\np12\ns."
[2013-03-11 14:05:13,467][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF258\nsS'height'\np5\nI19\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI68\ns."
[2013-03-11 14:05:13,467][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI68\nsS'height'\np5\nI19\nsS'surface'\np6\nF258\nsS'width'\np7\nI18\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,468][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI3\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI146\ns."
[2013-03-11 14:05:13,468][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI146\nsS'height'\np5\nI3\nsS'surface'\np6\nF10\nsS'width'\np7\nI6\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_yellow'\np11\ns."
[2013-03-11 14:05:13,504][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF258\nsS'height'\np5\nI19\nsS'width'\np6\nI18\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI68\ns."
[2013-03-11 14:05:13,504][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI68\nsS'height'\np5\nI19\nsS'surface'\np6\nF258\nsS'width'\np7\nI18\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,505][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI3\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI146\ns."
[2013-03-11 14:05:13,505][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI146\nsS'height'\np5\nI3\nsS'surface'\np6\nF10\nsS'width'\np7\nI6\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_yellow'\np11\ns."
[2013-03-11 14:05:13,786][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF258.5\nsS'height'\np5\nI19\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI66\ns."
[2013-03-11 14:05:13,786][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI66\nsS'height'\np5\nI19\nsS'surface'\np6\nF258.5\nsS'width'\np7\nI20\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,787][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF8\nsS'height'\np5\nI3\nsS'width'\np6\nI5\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI154\ns."
[2013-03-11 14:05:13,787][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF18\nsS'height'\np5\nI3\nsS'width'\np6\nI10\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI12\ns."
[2013-03-11 14:05:13,787][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI1\nsS'x'\nI12\nsS'height'\np5\nI3\nsS'surface'\np6\nF18\nsS'width'\np7\nI10\nsa(dp8\nS'y'\nI1\nsS'x'\nI154\nsg5\nI3\nsg6\nF8\nsg7\nI5\nsasS'command'\np9\nS'observation'\np10\nsS'name'\np11\nS'combined_yellow'\np12\ns."
[2013-03-11 14:05:13,964][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'red'\np3\nsS'surface'\np4\nF277\nsS'height'\np5\nI19\nsS'width'\np6\nI20\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI78\nsS'x'\nI66\ns."
[2013-03-11 14:05:13,964][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'sorted_contours'\np2\n(lp3\n(dp4\nS'y'\nI78\nsS'x'\nI66\nsS'height'\np5\nI19\nsS'surface'\np6\nF277\nsS'width'\np7\nI20\nsasS'command'\np8\nS'observation'\np9\nsS'name'\np10\nS'combined_red'\np11\ns."
[2013-03-11 14:05:13,964][Borg.Brain.Vision.BlobDetector] DEBUG: Sent data: "(dp1\nS'name'\np2\nS'yellow'\np3\nsS'surface'\np4\nF10\nsS'height'\np5\nI3\nsS'width'\np6\nI6\nsS'command'\np7\nS'observation'\np8\nsS'y'\nI1\nsS'x'\nI146\ns."
